Name,WorkflowType,Link,Venue,Year,Task,OutcomeQuality_Accuracy,OutcomeQuality_VerifiableCreativity,OutcomeQuality_Creativity,ResourceConstraints_Expense,ResourceConstraints_Latency,QualityControl_AppropriateSubtasks,QualityControl_WorkerInstruction,QualityControl_VerificationStep,QualityControl_DisagreementResolution,QualityControl_UserRevision,ResponseDiversity_DiversityForAccuracy,ResponseDiversity_DiversityForCreativity,WorkflowFlexibility_TaskSpecificity,WorkflowFlexibility_ArchitectureRigidity,Architecture_Sequential,Architecture_Branching,Architecture_Redundant,Architecture_Dynamic,Architecture_Communicative,Subtasks_Generate,Subtasks_Evaluate,Subtasks_Transform,Subtasks_Focus,Subtasks_Partition,Workers_Crowdworkers,Workers_LLMs,Workers_User
"Cicero: Multi-Turn, Contextual Argumentation for Accurate Crowdsourcing",Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3290605.3300761,CHI,2019,"Relation extraction, codenames (word association)",yes,no,no,no,no,no,no,no,yes,no,yes,no,task flexible,dynamic - number of iterations,yes,yes,both,yes,yes,yes,yes,no,no,no,yes,no,no
Honest Students from Untrusted Teachers: Learning an Interpretable Question-Answering Pipeline from a Pretrained Language Model,LLM chain,https://arxiv.org/pdf/2210.02498.pdf,arxiv,2022,QA rationales,yes,no,no,no,no,no,yes,yes,no,no,yes,no,task specific,rigid,yes,no,neither,no,no,yes,yes,yes,no,no,no,yes,no
Frenzy: Collaborative Data Organization for Creating Conference Sessions,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2556288.2557375,CHI,2014,Conference session organization,no,yes,no,no,yes,no,no,no,no,no,yes,yes,task specific,dynamic - number of iterations,yes,no,both,yes,yes,yes,yes,yes,no,no,yes,no,no
Learning to Perform Complex Tasks through Compositional Fine-Tuning of Language Models,LLM chain,https://aclanthology.org/2022.findings-emnlp.121.pdf,EMNLP,2022,"Generating recommendations (world travel, local dining), Domain understanding (sports)",yes,no,no,yes,no,yes,yes,no,no,no,yes,no,task flexible,rigid,yes,no,neither,no,no,yes,no,no,no,no,no,yes,no
Teach LLMs to Personalize â€“ An Approach inspired by Writing Education,LLM chain,https://arxiv.org/pdf/2308.07968.pdf,arxiv,2023,Personalized text generation,yes,no,no,no,no,no,yes,yes,no,no,no,no,task specific,rigid,yes,no,neither,no,no,yes,yes,no,no,no,no,yes,no
Pterodactyl: Two-Step Redaction of Images for Robust Face Deidentification,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/18937/18702,HCOMP,2021,Face redaction,yes,no,no,yes,no,no,yes,no,no,no,yes,no,task specific,rigid,yes,no,both,no,no,yes,no,no,no,no,yes,no,no
Decomposition Enhances Reasoning via Self-Evaluation Guided Decoding,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2984511.2984518,UIST,2016,Accessibility labels for physical interfaces,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,task specific,rigid,yes,no,parallel,no,yes,yes,yes,no,no,no,yes,no,yes
Decomposition Enhances Reasoning via Self-Evaluation Guided Decoding,LLM chain,https://www.semanticscholar.org/reader/0061d6c1aa6c6032120974e8939ee11f5eed8813,arxiv,2023,Multi-step reasoning,yes,no,no,no,no,no,yes,yes,no,no,yes,no,task flexible,dynamic - number of iterations,yes,no,parallel,yes,no,yes,yes,no,no,no,no,yes,no
Communicating Context to the Crowd for Complex Writing Tasks,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2998181.2998332,CSCW,2017,Complex writing,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,task specific,rigid,yes,no,both,no,yes,yes,yes,yes,yes,no,yes,no,yes
PCR-Chain: Partial Code Reuse Assisted by Hierarchical Chaining of Prompts on Frozen Copilot,LLM chain,https://dl.acm.org/doi/pdf/10.1109/ICSE-Companion58688.2023.00013,ICSE,2023,Partial code reuse,yes,no,no,no,no,no,yes,yes,no,no,no,no,task specific,rigid,yes,yes,neither,no,no,yes,yes,yes,no,no,no,yes,no
Mechanical Novel: Crowdsourcing Complex Work through Reflection and Revision,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2998181.2998196,CSCW,2017,Short story fiction writing,no,no,yes,no,no,no,yes,no,no,no,no,yes,task specific,rigid,yes,no,both,yes,no,yes,yes,yes,yes,yes,yes,no,no
Improving Factuality and Reasoning in Language Models through Multiagent Debate,LLM chain,https://arxiv.org/pdf/2305.14325.pdf,arxiv,2023,LLM factuality and reasoning,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,task flexible,dynamic - number of iterations,yes,no,both,yes,yes,yes,yes,no,no,no,no,yes,no
Facade: Auto-generating Tactile Interfaces to Appliances,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3025453.3025845,CHI,2017,Generating braille labels,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,task specific,rigid,yes,no,parallel,no,no,yes,yes,no,no,no,yes,no,yes
Crowdsourced Detection of Emotionally Manipulative Language,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3313831.3376375,CHI,2020,Detecting emotionally manipulative language,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,task specific,rigid,yes,no,both,no,no,no,yes,yes,yes,no,yes,no,no
Standing on the Shoulders of Giant Frozen Language Models,LLM chain,https://www.researchgate.net/publication/360098745_Standing_on_the_Shoulders_of_Giant_Frozen_Language_Models,arxiv,2022,"Massive multi-tasking, open-domain question answering",yes,no,no,yes,no,no,no,yes,no,no,no,no,task flexible,rigid,yes,no,iterative,no,no,yes,yes,no,no,no,no,yes,no
Training Verifiers to Solve Math Word Problems,LLM chain,https://arxiv.org/abs/2110.14168,arxiv,2021,Math word problems,yes,no,no,no,no,no,no,yes,yes,no,yes,no,task flexible,rigid,yes,no,parallel,no,no,yes,yes,no,no,no,no,yes,no
Why Is That Relevant? CollectingAnnotator Rationales for Relevance Judgments,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13286/13134,HCOMP,2016,Taxonomy creation,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,task specific,dynamic - number of iterations,yes,no,both,yes,no,yes,yes,no,no,no,yes,no,no
Learnersourcing Subgoal Labels for How-to Videos,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2675133.2675219,CSCW,2015,Generating video subgoal labels,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,task specific,rigid,yes,no,parallel,no,no,yes,yes,yes,no,no,yes,no,no
Human computation tasks with global constraints,Crowdsourcing workflow,https://dl.acm.org/doi/10.1145/2207676.2207708,CHI,2012,Global constraint satisfaction (itinerary planning),yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,task specific,dynamic - other,yes,no,both,yes,yes,yes,yes,yes,no,no,yes,no,yes
Crowdlines: Supporting Synthesis of Diverse Information Sources through Crowdsourced Outlines,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13239/13087,HCOMP,2015,Information synthesis,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,task specific,rigid,yes,no,both,no,no,yes,no,yes,no,no,yes,no,no
PopBlends: Strategies for Conceptual Blending with Large Language Models,LLM chain,https://dl.acm.org/doi/pdf/10.1145/3544548.3580948,CHI,2023,Generating conceptual blends,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,task specific,rigid,yes,no,parallel,no,no,yes,no,yes,no,no,no,yes,no
An Iterative Dual Pathway Structure for Speech-to-Text Transcription,Crowdsourcing workflow,http://users.eecs.northwestern.edu/~hq/papers/iterative_dual.pdf,AAAI,2011,Speech-to-text transcription,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,task specific,dynamic - split input,yes,no,both,yes,no,yes,no,yes,no,no,yes,no,no
PEER: A Collaborative Language Model,LLM chain,https://arxiv.org/pdf/2208.11663.pdf,arxiv,2022,Collaborative writing,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,task specific,dynamic - number of iterations,yes,no,iterative,yes,no,yes,no,yes,no,no,no,yes,no
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,LLM chain,https://arxiv.org/pdf/2305.10601.pdf,arxiv,2023,General problem-solving,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,task flexible,dynamic - other,yes,yes,parallel,yes,no,yes,yes,no,no,yes,no,yes,no
ConceptScape: Collaborative Concept Mapping for Video Learning,Crowdsourcing workflow,https://juhokim.com/files/CHI2018-ConceptScape.pdf,CHI,2018,Video concept mapping,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,task specific,rigid,yes,no,parallel,no,no,yes,yes,yes,no,no,yes,no,no
Adaptive Intellect Unleashed: The Feasibility of Knowledge Transfer in Large Language Models,LLM chain,https://www.semanticscholar.org/reader/0e1ada6dac9337fb32355c9db4682b8102a8a856,arxiv,2023,Software engineering tasks,yes,no,no,no,no,no,yes,yes,no,no,yes,no,task specific,rigid,yes,no,neither,no,no,no,no,yes,no,no,no,yes,no
An Empirical Study on Short- and Long-TermEffects of Self-Correction in Crowdsourced Microtasks,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13324/13172,HCOMP,2018,Visual categorization,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,task flexible,rigid,yes,no,iterative,no,yes,yes,yes,yes,no,no,yes,no,no
Metaphorian: Leveraging Large Language Models to Support Extended Metaphor Creation for Science Writing,LLM chain,https://dl.acm.org/doi/pdf/10.1145/3563657.3595996,DIS,2023,Metaphor creation,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,task specific,dynamic - number of iterations,yes,no,iterative,yes,no,yes,no,no,no,no,no,yes,yes
The Knowledge Accelerator: Big Picture Thinking in Small Pieces,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2858036.2858364,CHI,2016,Information synthesis,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,task flexible,rigid,yes,no,parallel,no,yes,yes,yes,yes,yes,no,yes,no,no
VisiBlends: A Flexible Workflow for Visual Blends,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3290605.3300402,CHI,2019,Visual blends (graphic design),no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,task specific,dynamic - other,yes,no,both,yes,yes,yes,yes,yes,no,no,yes,no,yes
Self-Verification Improves Few-Shot Clinical Information Extraction,LLM chain,https://www.semanticscholar.org/reader/34e1a8a75bf6f35084ac6d714a136f39d02c649e,arxiv,2023,Clinical information extraction,yes,no,no,no,no,no,yes,yes,no,no,yes,no,task flexible,dynamic - number of iterations,yes,no,iterative,yes,no,yes,yes,yes,yes,no,no,yes,no
Community Clustering: Leveraging anAcademic Crowd to Form Coherent Conference Sessions,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13078/12926,HCOMP,2013,Conference session organization,no,yes,no,no,yes,yes,no,yes,yes,no,no,yes,task specific,dynamic - other,yes,no,parallel,yes,yes,yes,yes,yes,no,no,yes,no,no
Generating medically-accurate summaries of patient-provider dialogue: A multi-stage approach using large language models,LLM chain,https://aclanthology.org/2023.clinicalnlp-1.26.pdf,ACL,2023,Medical dialogue summarization,yes,no,no,no,no,no,yes,no,no,no,no,no,task specific,rigid,yes,no,neither,no,no,yes,no,yes,no,no,no,yes,no
Flash Organizations: Crowdsourcing Complex Work by Structuring Crowds As Organizations,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3025453.3025811,CHI,2017,"Open-ended goals (product design, software development, game production)",yes*,yes*,yes*,no,no,no,no,no,no,yes,no,yes,task flexible,dynamic - other,yes,no,neither,yes,yes,yes*,yes*,yes*,yes*,yes*,yes,no,yes
DeepPavlov Dream: Platform for Building Generative AI Assistants,LLM chain,https://aclanthology.org/2023.acl-demo.58.pdf,ACL,2023,Complex AI assistants,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,task flexible,dynamic - other,yes,yes,parallel,yes,no,yes,yes,no,no,yes,no,yes,no
Privacy-Preserving Face Redaction Using Crowdsourcing,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/7459/7301,HCOMP,2020,Face redaction,no,no,no,no,no,no,no,yes,yes,no,yes,no,task specific,dynamic - number of iterations,yes,no,both,yes,no,yes,no,no,no,no,yes,no,no
LLMs as Workers in Human-Computational Algorithms? Replicating Crowdsourcing Pipelines with LLMs,LLM chain,https://arxiv.org/pdf/2307.10168.pdf,arxiv,2023,"create satire, brainstorm short stories, write essay, sort, shorten text, srl labeling",yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,task specific,dynamic - other,yes,no,both,yes,no,yes,yes,yes,yes,yes,no,yes,no
Ask Me Anything: A simple strategy for prompting language models,LLM chain,https://arxiv.org/abs/2210.02441,arxiv,2022,question-answering,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,task flexible,rigid,yes,no,parallel,no,no,yes,yes,yes,no,no,no,yes,no
Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate,LLM chain,https://arxiv.org/pdf/2305.19118.pdf,arxiv,2023,"arithmetic reasoning, common sense machine translation",yes,yes,no,no,no,no,no,yes,yes,no,yes,no,task flexible,dynamic - number of iterations,yes,no,iterative,yes,yes,yes,yes,no,no,no,no,yes,no
Storia: Summarizing Social Media Content based on Narrative Theory using Crowdsourcing,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2818048.2820072,CSCW,2016,narrative summarizations,no,yes,no,no,no,no,no,no,yes,no,no,yes,task specific,dynamic - other,yes,no,parallel,yes,no,yes,yes,no,no,no,yes,no,no
Co-Writing Screenplays and Theatre Scripts with Language Models: Evaluation by Industry Professionals,LLM chain,https://dl.acm.org/doi/10.1145/3544548.3581225,CHI,2023,creative writing,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,task specific,dynamic - number of iterations,yes,no,iterative,yes,no,yes,yes,no,no,no,no,yes,yes
WearWrite: Crowd-Assisted Writing from Smartwatches,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2858036.2858169,CHI,2016,writing,no,no,yes,no,no,no,no,no,no,yes,no,yes,task specific,dynamic - other,yes,no,neither,yes,yes,yes,no,yes,no,no,yes,no,yes
Chorus: a crowd-powered conversational assistant,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2501988.2502057,UIST,2013,Chatbot (QA),no,yes,no,no,no,yes,yes,no,yes,no,yes,no,task specific,rigid,yes,no,parallel,no,yes,yes,yes,no,no,no,yes,no,no
Evorus: A Crowd-powered Conversational Assistant Built to Automate Itself Over Time,Crowdsourcing workflow,https://arxiv.org/abs/1801.02668,CHI,2018,chatbot (QA),no,yes,no,yes,yes,no,no,no,yes,no,yes,no,task specific,dynamic - other,yes,yes,parallel,yes,yes,yes,yes,no,no,no,yes,no,no
DERA: Enhancing Large Language Model Completions with Dialog-Enabled Resolving Agents,LLM chain,https://www.semanticscholar.org/reader/a8148b9dce6101b080e499b4c48cbe267d745131,arxiv,2023,"care plan generation, factual dialogue, medical QA, conversation summarization",yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,task flexible,dynamic - number of iterations,yes,no,both,yes,yes,yes,yes,no,yes,no,no,yes,no
CrowdWeaver: Visually Managing Complex Crowd Work,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2145204.2145357,CSCW,2012,create news leads,no,no,yes,no,no,no,yes,no,yes,no,no,no,task flexible,rigid,yes,yes,parallel,no,no,yes*,yes*,yes*,yes*,yes*,yes,no,no
Revisiting Prompt Engineering via Declarative Crowdsourcing,LLM chain,https://arxiv.org/pdf/2308.03854.pdf,arxiv,2023,"sorting, entity resolution, missing value imputation",yes,no,no,yes,no,no,no,yes,yes,no,yes,no,task specific,rigid,yes,no,parallel,no,no,yes,yes,yes,no,no,no,yes,no
MicroTalk: Using Argumentation to Improve Crowdsourcing Accuracy,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13270/13118,HCOMP,2016,annotation quality control,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,task flexible,dynamic - other,yes,no,parallel,yes,yes,yes,yes,yes,no,no,yes,no,yes
Supporting ESL Writing by Prompting Crowdsourced Structural Feedback,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13313/13161,HCOMP,2017,writing editing,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,task specific,rigid,yes,no,parallel,no,no,no,yes,no,no,no,yes,no,yes
CrowdMask: Using Crowds to Preserve Privacy inCrowd-Powered Systems via Progressive Filtering,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13314/13162,HCOMP,2017,identify private content,yes,no,no,no,no,no,yes,no,yes,no,yes,no,task specific,dynamic - split input,yes,no,both,yes,no,yes,no,no,no,no,yes,no,no
AUTOMATIC CHAIN OF THOUGHT PROMPTING IN LARGE LANGUAGE MODELS,LLM chain,https://openreview.net/pdf?id=5NTt8GFjUHkr,ICLR,2022,"arithmetic, commonsense, and synthetic reasoning",yes,no,no,yes,no,no,yes,yes,no,no,no,no,task specific,rigid,yes,no,neither,no,no,yes,no,no,no,no,no,yes,no
Expert crowdsourcing with flash teams,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2642918.2647409,UIST,2014,"design prototype, animation",no,no,yes,no,yes,no,no,yes,no,yes,no,yes,task flexible,dynamic - other,yes,yes,parallel,yes,yes,yes*,yes*,yes*,yes*,yes*,yes,no,yes
